review,rating
2017-09-02T07:00:09Z It's really smooth but the taste isn't so good. Terrible absolutely terrible. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones. Slightly disappointed in the taste. ,0
2017-08-05T04:28:58Z Is ok..need more intense on flavor. I am a bit disappointed.,0
"2017-12-15T00:02:24Z I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.",0
"2018-01-02T20:20:01Z Definitely not worth the hassle, don't waste your time or your money. Terrible absolutely terrible. I am a bit disappointed.",0
"2017-09-20T01:18:35Z Absolutely love, love, love it!!",1
2017-09-20T01:18:35Z Quick and easy before school breakfast.,1
"2017-09-06T04:49:34Z Spent the weekend, home alone, working. Enjoyed the margaritas I made with this mix. I bought a quality tequila and added a shot of Grand Mariner. Just fabulous on the rocks.. frozen, hmm.. any which way was just fabulous!!",1
"2017-11-20T22:26:30Z Pinnacle has been making our Martini's in my family for many years. My late father discovered it years ago when someone said it's on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet you'll love it too. Al",1
2017-09-23T02:53:08Z this works for me its so dry in reno. carmax goes on so smove,1
2017-09-23T02:53:08Z I fell in love with Clamato over 30 yrs ago. My mom drank it and so i was introduced to it at a young age. Now as an adult i absolutely love it alone or mixing it up for some micheladas with my pops! We always have at least 2 bottles in the fridge!,1
2017-09-20T01:18:35Z It's really smooth but the taste isn't so good. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones .,0
"2017-07-12T18:46:38Z Love it, but getting a little pricey. Order 1 18 oz instead of a 4 pack of 12 oz. May be making slightly less dirty martinis.",1
2017-09-23T02:53:08Z My favorite lip product for years. I always keep multiples around the house and in my car.,1
"2017-11-15T17:05:21Z I consider myself a wine lover but I’m not a wine snob. I decided to finally order wine from QVC and went for the mixed case as I do like reds and whites. After trying each variety, I regret the decision. While not horrible, they aren’t good either. These aren’t wines I’d serve to anyone or drink again let alone purchase again. The rosé is a sweet wine no doubt about it, which isn’t my taste, but it was described as being not too sweet. The chardonnay is the strangest tasting chardonnay I’ve ever tasted. It was described as not being too oaky. I guess I like my chardonnay oaky. And the pinot noir, which the “wine expert” repeatedly mispronounced (RED FLAG) was just bland. The cabernet sauvingnon was supposed to be the best of the bunch and it was private reserve after all but just turned out to be disappointing as well. These wines were touted as having a retail value of $20-$25 per bottle but taste more like sub $10 per bottle, which is exactly how much it works out to when you buy the case. You get what you pay for, as they say. And if something sounds too good to be true, it probably is. Lessons learned in this case. I have to say, I am disappointed.",0
"2017-09-23T02:53:08Z Better flavor than V8, have a glass every morning for breakfast.",1
2018-01-10T22:32:39Z love it wouldnt mind drinking more,1
"2017-09-23T02:53:08Z I live in a tent on the oregon coast, so my lips are exposed to the elements day in and day out. I've used many types of lip balms-- but nothing soothes the skin like Carmen!",1
2017-09-20T01:18:33Z there delicious,1
"2017-09-23T02:53:08Z Great margarita mix. Most of all love the small cans when you just want to have 1, no waste. Great for taking on the go!",1
2017-09-20T01:18:35Z I love Cabernet and Merlot wines. I couldn't even finish a glass of this stuff...and that's saying a lot. It's horrible and disgusting!,0
2017-09-20T01:18:35Z I am not happy they only carry cans. The bottles are much better bring them back please!!!!!! Disappointed in the cans. ,0
"2017-09-20T01:18:35Z It's not often that you come across a wine this bad. It's horrible and terrible and gross. I've tasted cooking wines that were better. Unfortunately, my wife bought four bottles of this stuff. Tried to return it, but Sam's wouldn't accept it (not that I blame them). I'd pour it down the sink, but it might damage the pipes. Sigh... So disappointed",0
2017-11-14T20:55:13Z Just as David the host said the cab was awesome! Not dry at all and nice body in the glass. I���m going back for more!,1
2017-09-23T02:53:08Z This product lasted me 2 whole months I LOVE IT!!!,1
2018-01-10T18:59:18Z Yummmmmmyyyyyyyyyyyyyyyy,1
"2017-09-23T02:53:08Z I was so happy to have located Mr Mrs T Mai Tai Mix at Wallmart on-line. It is nearly impossible to find it in NJ (grocery or liquor stores). Usually, I am not a fan of any bar drink mixes, particularly now sugary ones, but this one is a fabulous concoction! Not too sweet, the flavors are well balanced between sweet sour, with a touch of bitter almonds. Just excellent to drink as is or it is very simple to prepare an exotic cocktail by addiing Baccardi Rum garnish with Maraschino cherry and a sliver of pineapple (on a skewer). I have been impressing our guests with it the entire summer :) Had to even give up one bottle to my neigbors. We are hooked! Wallmart send the product promptly for a very reasonable SH charge. It arrived in good condition (product is shelf stable). I'll be ordering it again next season, or maybe earlier if we want to have a nice summer cocktail in the winter months!",1
"2017-04-04T11:51:15Z Easy and quick to serve, brings a smile to their faces. Pretty good value for a quick drink product.",1
"2017-09-07T20:13:07Z Tasty little treats, gives fiber and fills the sweet tooth. No gassy side effects.",1
2016-07-26T20:28:12Z Excellent wines and customer service. I sent them as a gift and they loved it.,1
2017-07-20T16:37:40Z this didn't taste like olive juice from an actual jar of olives. it tasted a bit sweeter or like it was synthetic. i wouldn't recommend. Quite terrible. Horrible very horrible. Gross.,0
2017-07-28T12:38:56Z We bought our first bottle of Powell Mahoney margarita mix locally and decided it was the very best mix we ever had. Hard to find in local shops. Glad we found it on Amazon. All natural ingredients and hand crafted,1
2017-09-23T02:53:08Z I'm happy as always. Yes Always. Big time fun time,1
"2017-07-12T18:46:37Z I like martinis about as dirty as they can come. This stuff is just the bomb! It's so much more flavorful than any olive juice I've tasted from olives in a jar. It's full bodied, not just briny.Go ahead.... you're DEFINITELY worth it.!",1
"2016-07-26T20:28:23Z Think this was a good purchase although I had nary a drop ( Must have been a very good choice too, because it's on a list to be ordered again.",1
2017-09-02T07:55:36Z It was impossible to unroll this tube of rolls---they would not separate and I took them straight out of the fridge. I wound up rolling out the dough and slapping together my rolls very unhappy. Terrible. So disappointed,0
"2017-09-23T02:53:08Z This stuff is a life saver, I stock up on this during the winter",1
2017-09-20T01:18:35Z I used this a lot to clean my wheel wells on my truck of road pack and the underside of my riding mower. I was disappointed to see that after only 2 years of use my pump developed a leak which would cost more to fix than than buying a new unit. I am retired and can't afford to buy one every 2 years but it looks like I will. Very disapointed.,0
"2017-11-14T20:55:13Z I bought the rose as they said it was sweetIt turned out to be tasteless and really dry, nasty!Also took over a week to get hereI am tired of how long it takes packages to arrive. Very nasty and gross. Terrible actually. Disappointed in the taste",0
2017-08-05T04:28:57Z Great bitters. Love all their products.,1
2018-01-02T20:20:02Z I'm not a wine snob but I've had my fair share of wine over the years. I taste new brands fairly regularly. You can do much better at your local store for the same or less money. Basically tastes like a good box wine. Black Box ... etc. I think this is horrible and gross.,0
"2017-09-20T01:18:33Z The wings were nasty. Quite gross. Very bad, no terrible. Disappointed.",0
2017-09-23T02:53:08Z The long time favorite container now has a severely indented bottom end this allowing for less product. Very disappointed by this new implementation. Smaller for the same great higher price. Super disappointed.,0
2017-09-23T02:53:08Z Very smooth and light flavor was a hit the town at the end I love become the clam and tomato blend with in this product,1
2017-09-20T01:18:35Z Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,1
2017-08-15T03:05:22Z The BEST easiest manhatten EVER! Was such a great mix to have for our diy cocktail party! Now it's always in our bar at home! Sometimes you just need a fancy drink,1
2017-09-02T07:00:09Z drink,1
2017-09-02T07:55:36Z I used this for a crust and it was wonderful...,1
2017-07-27T22:14:55Z Love Canada Dry until about a month ago..every carton I've purchased has been flat..no fizz..and just bad tasting..I've used Canada Dry for years so certainly know good from bad. Has there been a change cause they surely don't taste good. I am so disappointed,0
"2017-09-02T07:00:09Z I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.",1
2018-01-10T19:21:57Z I bought a case of his reds 6/6 from QVC right before Christmas. I was extremely disappointed with my purchase as were my dinner guests. It is always better to sample a wine before making a purchasing. A lesson learned. Horrible experience.,0
"2017-08-15T03:05:22Z Although this is a Manhattan mix, I love to add it to many of my cocktails! The flavors are so complex, they elevate the flavor profile of my concoctions!",1
2017-09-23T02:53:08Z this product as well as many others would be more appealing to me and others if the HFCS was replaced with cane sugar. You have a good product and there are ways to make it better. An increase in price would not deter me in the least. Look at the growth of the organic industry. Need I say more. Disappointed to say the least,0
2017-08-15T03:05:22Z This Moscow Mule mix is so delicious and refreshing! I will definitely be telling friends about this. So easy to make! Great for a party!,1
2017-09-23T02:53:08Z This mix is overly sweet and probably could lose the high fructose corn syrup. It also has a soapy taste often associated with coconut oil. I will be dumping it out! Extremely nasty. Gross. Terrible.,0
"2017-09-23T02:53:08Z soothing ,,,protective from drying and chapping ..awesome",1
2017-09-20T01:18:35Z Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,1
"2016-07-26T20:28:24Z ONEHOPE creates delicious wines that all support amazing causes. These reds are great for entertaining or relaxing after a long day. Rich and flavorful, each of these reds has their own unique quality. Personally the Merlot is my favorite! Being able to get all of these great wines together is a great deal! Treat yourself to these reds or send them as a gift. You won't be disappointed!!",1
2017-09-06T04:49:34Z I ordered 12 of these buckets and when I opened them up a couple of the buckets had holes in the bottom. The Margarita was good. Exteremly disappointed,0
2017-09-20T01:18:35Z We have been buying Apothic Dark for a couple of years now. It is our Red Blend of Choice. Very Smooth and very reasonably priced.,1
2017-09-23T02:53:08Z Had it as an appetizer 25 years ago and drank it ever since,1
2017-09-20T01:18:35Z I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,1
2017-09-23T02:53:08Z Mineral water (topo chico) with limn and salt and Clamato...best thing ever,1
2017-09-20T01:18:35Z Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,1
2017-09-23T02:53:08Z I bought this like a month ago and recommendations wasn't as well. I do not recommend this product. Very gross and terrible.,0
"2017-06-09T18:31:57Z I love the size and the price on this cooler. However the lower quality than brand name coolers is evident in the finish on this cooler. After about 3 weeks of use the rope handle pulled loose while lifting and the cooler fell to the ground but survived the fall. Trademark Innovations, please send me new plastic handles!  Disappointed.",0
2017-09-23T02:53:08Z Easy to use. Works great. Fits easily into pockets of jacket to carry with you.,1
"2017-09-23T02:53:08Z Love this product, the packaging, even like the smell.",1
2017-08-15T03:27:44Z This order arrived with three broken bottles and the bottles were 8 ounces rather than 12 ounces like shown in the website.,0
2017-09-23T02:53:08Z I have used this since i was little.Its my favorite lipbalm too.I can buy lipbalms but I Will still perfer this one.I use it every night before I go to bed.,1
2017-09-20T01:18:35Z Had a taste of either being old or spoiled. Stick with the bottle. Very disappointed. It is quite terrible.,0
2017-09-23T02:53:08Z I have used this product for years. Best thing on the market!!!!,1
"2017-08-07T02:27:54Z Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.",1
"2018-01-10T22:30:55Z Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.",1
2017-09-23T02:53:08Z I bought this awhile ago and I love it. It is great.,1
2015-11-06T01:30:29Z It says a discount for 6 bottles. Then even shows reduced price but when you check out price changes. Disappointed in this.,0
"2017-09-23T02:53:08Z Lime juice, tapatio sauce,clamato juice and bud light!!",1
2016-07-26T20:28:24Z I absolutely love the ONEHOPE reds and this mixed pack is such a great deal between the discount and 1 cent shipping. This is my go-to gift for anyone I know who appreciates great wine. I've been a fan of this winery for a long time and love the sleek new labels!,1
2017-09-02T07:55:32Z Zing zang is a great drink that I supplement my diet with when I'm craving spicy food. It has the perfect combination of tomato juice spices that make each drink delicious!,1
2017-09-20T01:18:33Z Taste great,1
2017-09-23T02:53:08Z My husband has been using this product for years. He works outside in all the elements from blistering heat to freezing cold swears by your product!!!!!,1
"2017-09-23T02:53:08Z Been using this stuff as far back as I remember. Don't go anywhere with it. Tried several other products but not as good. Started with the jar, then the tub, and now the stick. Highly recommended! Don't even bother trying anything else, when you have the best, why bother",1
"2017-09-02T07:55:36Z First, let's establish that the whole point of buying tube crescent rolls is that they come off in little triangles that can be rolled into crescents. Hence crescent rolls. These are no where in the vicinity of crescent rolls. The dough stuck together would not unroll. Where I needed triangles, I came out with sticky amorphous lumps of dough. It was 100 useless for the recipe I was making. I was severely disappointed and will never again purchase these.",0
2017-09-23T02:53:08Z I have used this product for over 50 years and I still use it several times each day. I couldn't go without it.,1
"2018-01-02T20:20:02Z Purchased on auto delivery. First shipment great, second came with 6 bottle of sav but no moscato. We do not like the sav but are now stuck with all these bottles. Third shipment came with the moscato and 3 more sav. Shipped well before they said it would or at least they said in process so we could not delay or skip shipment. Moscato is great others are ok. Trying to cancel balance and would order the moscato and other whites but price with shipping even ""included"" makes it costly. Disappointed.",0
2017-06-09T18:31:57Z We love it but can't seem to find anywhere my wife was tickled to death to find it.,1
2017-09-20T01:18:33Z Very tender and juice. Will buy again,1
"2017-08-05T18:36:54Z I liked all of the favors. I was pleasantly surprised that these didn't have that no calorie drink aftertaste. The alcohol of course adds calories but you save about 70 using these instead of the ones with calories. The Strawberry Lemonade was the best. I used cheaper tequila, Jose Cuervo, which was just fine.",1
2017-09-02T07:55:36Z This is chemicals.,0
